Movie Genre,OPE,CON,EXT,AGR,NEU,
action,3.87,3.45,3.57,3.58,2.72,
adventure,3.91,3.56,3.54,3.68,2.61,
animation,4.04,3.22,3.26,3.35,3.02,
cartoon,3.95,3.33,3.49,3.57,2.81,
comedy,3.88,3.44,3.58,3.6,2.75,
cult,4.27,3.1,3.45,3.4,3.16,
drama,3.99,3.43,3.66,3.6,2.86,
foreign,4.15,3.46,3.47,3.54,2.81,
horror,3.9,3.38,3.52,3.47,2.91,
independent,4.31,3.59,3.51,3.55,2.69,
neo-noir,4.34,3.35,3.33,3.37,2.97,
parody,4.13,3.36,3.35,3.28,2.73,
romance,3.84,3.48,3.62,3.62,2.85,
sci-fi,3.99,3.55,3.33,3.57,2.73,
tragedy,4.4,3.34,3.27,3.52,3.11,
war,3.82,3.51,3.49,3.5,2.71,
