TV Genre,OPE,CON,EXT,AGR,NEU
animation,4.03,3.23,3.25,3.48,2.83
cartoon,3.77,3.21,3.22,3.48,3.03
cooking show,3.71,3.54,3.54,3.51,2.76
documentary,4.12,3.45,3.37,3.53,2.85
game/quiz show,3.58,3.45,3.3,3.68,2.9
lgbt show,4.28,3.28,3.54,3.51,2.95
music video,3.98,3.32,3.56,3.55,3.02
news,3.97,3.58,3.58,3.54,2.74
prank show,4.08,3.41,3.51,3.33,2.65
reality show,3.76,3.56,3.61,3.58,2.75
sitcom,3.93,3.37,3.22,3.44,2.78
soap opera,3.57,3.46,3.56,3.42,3.01
sports show,3.67,3.58,3.67,3.64,2.52
standup comedy,4.1,3.36,3.53,3.49,2.85
surviving show,4.11,3.62,3.48,3.26,2.66
talk show,3.81,3.58,3.58,3.68,2.67
